[2023-05-30 06:15:14] [root | line:97 | detect] [INFO] - _single_cards: [{0: D[3]}, {1: H[3]}, {2: H[4]}, {3: C[5]}, {4: S[5]}, {5: C[7]}, {6: C[8]}, {7: C[9]}, {8: S[9]}, {9: C[J]}, {10: C[K]}, {11: D[K]}]
[2023-05-30 06:15:14] [root | line:44 | _filter] [INFO] - None
[2023-05-30 06:15:14] [root | line:101 | detect] [INFO] - qualfied: [{7: C[9]}, {8: S[9]}, {9: C[J]}, {10: C[K]}, {11: D[K]}]
[2023-05-30 06:15:14] [root | line:127 | show_card] [INFO] - [D[K]]
[2023-05-30 06:15:14] [root | line:186 | _show_pattern] [INFO] - Single([D[K]])
[2023-05-30 06:15:14] [root | line:104 | remove_cards] [INFO] - Cards: [D[K]] showed.
[2023-05-30 06:15:14] [root | line:168 | show_pattern] [INFO] - Single([D[K]]) Showed
[2023-05-30 06:15:14] [root | line:77 | showcard_process] [INFO] - 頂牌已更新: Single([D[K]])
[2023-05-30 06:15:21] [root | line:55 | show_card] [INFO] - [H[K]]
[2023-05-30 06:15:21] [root | line:104 | _show_pattern] [INFO] - Single([H[K]])
[2023-05-30 06:15:21] [root | line:104 | remove_cards] [INFO] - Cards: [H[K]] showed.
[2023-05-30 06:15:21] [root | line:94 | show_pattern] [INFO] - Single([H[K]]) Showed
[2023-05-30 06:15:21] [root | line:77 | showcard_process] [INFO] - 頂牌已更新: Single([H[K]])
[2023-05-30 06:15:24] [root | line:55 | show_card] [INFO] - [C[A]]
[2023-05-30 06:15:24] [root | line:104 | _show_pattern] [INFO] - Single([C[A]])
[2023-05-30 06:15:24] [root | line:104 | remove_cards] [INFO] - Cards: [C[A]] showed.
[2023-05-30 06:15:24] [root | line:94 | show_pattern] [INFO] - Single([C[A]]) Showed
[2023-05-30 06:15:24] [root | line:77 | showcard_process] [INFO] - 頂牌已更新: Single([C[A]])
[2023-05-30 06:15:24] [root | line:97 | detect] [INFO] - _single_cards: [{0: C[4]}, {1: D[6]}, {2: H[6]}, {3: S[6]}, {4: H[7]}, {5: C[Q]}, {6: H[Q]}, {7: H[A]}]
[2023-05-30 06:15:24] [root | line:44 | _filter] [INFO] - None
[2023-05-30 06:15:24] [root | line:101 | detect] [INFO] - qualfied: [{7: H[A]}]
[2023-05-30 06:15:24] [root | line:127 | show_card] [INFO] - [H[A]]
[2023-05-30 06:15:24] [root | line:186 | _show_pattern] [INFO] - Single([H[A]])
[2023-05-30 06:15:24] [root | line:104 | remove_cards] [INFO] - Cards: [H[A]] showed.
[2023-05-30 06:15:24] [root | line:168 | show_pattern] [INFO] - Single([H[A]]) Showed
[2023-05-30 06:15:24] [root | line:77 | showcard_process] [INFO] - 頂牌已更新: Single([H[A]])
[2023-05-30 06:15:24] [root | line:97 | detect] [INFO] - _single_cards: [{0: D[3]}, {1: H[3]}, {2: H[4]}, {3: C[5]}, {4: S[5]}, {5: C[7]}, {6: C[8]}, {7: C[9]}, {8: S[9]}, {9: C[J]}, {10: C[K]}]
[2023-05-30 06:15:24] [root | line:44 | _filter] [INFO] - None
[2023-05-30 06:15:24] [root | line:101 | detect] [INFO] - qualfied: []
[2023-05-30 06:15:24] [root | line:80 | showcard_process] [INFO] - Player: AI #2741 這一回合 PASS
[2023-05-30 06:15:30] [root | line:55 | show_card] [INFO] - []
[2023-05-30 06:15:30] [root | line:80 | showcard_process] [INFO] - Player: A 這一回合 PASS
[2023-05-30 06:15:35] [root | line:55 | show_card] [INFO] - []
[2023-05-30 06:15:35] [root | line:80 | showcard_process] [INFO] - Player: S 這一回合 PASS
[2023-05-30 06:15:35] [root | line:91 | round_process] [INFO] - 新的回合開始了。
[2023-05-30 06:15:35] [root | line:97 | detect] [INFO] - _single_cards: [{0: C[4]}, {1: D[6]}, {2: H[6]}, {3: S[6]}, {4: H[7]}, {5: C[Q]}, {6: H[Q]}]
[2023-05-30 06:15:35] [root | line:44 | _filter] [INFO] - None
[2023-05-30 06:15:35] [root | line:101 | detect] [INFO] - qualfied: [{0: C[4]}, {1: D[6]}, {2: H[6]}, {3: S[6]}, {4: H[7]}, {5: C[Q]}, {6: H[Q]}]
[2023-05-30 06:15:35] [root | line:127 | show_card] [INFO] - [H[6]]
[2023-05-30 06:15:35] [root | line:186 | _show_pattern] [INFO] - Single([H[6]])
[2023-05-30 06:15:35] [root | line:104 | remove_cards] [INFO] - Cards: [H[6]] showed.
[2023-05-30 06:15:35] [root | line:168 | show_pattern] [INFO] - Single([H[6]]) Showed
[2023-05-30 06:15:35] [root | line:77 | showcard_process] [INFO] - 頂牌已更新: Single([H[6]])
[2023-05-30 06:15:35] [root | line:97 | detect] [INFO] - _single_cards: [{0: D[3]}, {1: H[3]}, {2: H[4]}, {3: C[5]}, {4: S[5]}, {5: C[7]}, {6: C[8]}, {7: C[9]}, {8: S[9]}, {9: C[J]}, {10: C[K]}]
[2023-05-30 06:15:35] [root | line:44 | _filter] [INFO] - None
[2023-05-30 06:15:35] [root | line:101 | detect] [INFO] - qualfied: [{5: C[7]}, {6: C[8]}, {7: C[9]}, {8: S[9]}, {9: C[J]}, {10: C[K]}]
[2023-05-30 06:15:35] [root | line:127 | show_card] [INFO] - [C[8]]
[2023-05-30 06:15:35] [root | line:186 | _show_pattern] [INFO] - Single([C[8]])
[2023-05-30 06:15:35] [root | line:104 | remove_cards] [INFO] - Cards: [C[8]] showed.
[2023-05-30 06:15:35] [root | line:168 | show_pattern] [INFO] - Single([C[8]]) Showed
[2023-05-30 06:15:35] [root | line:77 | showcard_process] [INFO] - 頂牌已更新: Single([C[8]])
[2023-05-30 06:15:47] [root | line:55 | show_card] [INFO] - [D[Q]]
[2023-05-30 06:15:47] [root | line:104 | _show_pattern] [INFO] - Single([D[Q]])
[2023-05-30 06:15:47] [root | line:104 | remove_cards] [INFO] - Cards: [D[Q]] showed.
[2023-05-30 06:15:47] [root | line:94 | show_pattern] [INFO] - Single([D[Q]]) Showed
[2023-05-30 06:15:47] [root | line:77 | showcard_process] [INFO] - 頂牌已更新: Single([D[Q]])
[2023-05-30 06:15:50] [root | line:55 | show_card] [INFO] - [S[Q]]
[2023-05-30 06:15:50] [root | line:104 | _show_pattern] [INFO] - Single([S[Q]])
[2023-05-30 06:15:50] [root | line:104 | remove_cards] [INFO] - Cards: [S[Q]] showed.
[2023-05-30 06:15:50] [root | line:94 | show_pattern] [INFO] - Single([S[Q]]) Showed
[2023-05-30 06:15:50] [root | line:77 | showcard_process] [INFO] - 頂牌已更新: Single([S[Q]])
[2023-05-30 06:15:50] [root | line:97 | detect] [INFO] - _single_cards: [{0: C[4]}, {1: D[6]}, {2: S[6]}, {3: H[7]}, {4: C[Q]}, {5: H[Q]}]
[2023-05-30 06:15:50] [root | line:44 | _filter] [INFO] - None
[2023-05-30 06:15:50] [root | line:101 | detect] [INFO] - qualfied: []
[2023-05-30 06:15:50] [root | line:80 | showcard_process] [INFO] - Player: AI #18756 這一回合 PASS
[2023-05-30 06:15:50] [root | line:97 | detect] [INFO] - _single_cards: [{0: D[3]}, {1: H[3]}, {2: H[4]}, {3: C[5]}, {4: S[5]}, {5: C[7]}, {6: C[9]}, {7: S[9]}, {8: C[J]}, {9: C[K]}]
[2023-05-30 06:15:50] [root | line:44 | _filter] [INFO] - None
[2023-05-30 06:15:50] [root | line:101 | detect] [INFO] - qualfied: [{9: C[K]}]
[2023-05-30 06:15:50] [root | line:127 | show_card] [INFO] - [C[K]]
[2023-05-30 06:15:50] [root | line:186 | _show_pattern] [INFO] - Single([C[K]])
[2023-05-30 06:15:50] [root | line:104 | remove_cards] [INFO] - Cards: [C[K]] showed.
[2023-05-30 06:15:50] [root | line:168 | show_pattern] [INFO] - Single([C[K]]) Showed
[2023-05-30 06:15:50] [root | line:77 | showcard_process] [INFO] - 頂牌已更新: Single([C[K]])
[2023-05-30 06:15:55] [root | line:55 | show_card] [INFO] - []
[2023-05-30 06:15:55] [root | line:80 | showcard_process] [INFO] - Player: A 這一回合 PASS
[2023-05-30 06:15:58] [root | line:55 | show_card] [INFO] - []
[2023-05-30 06:15:58] [root | line:80 | showcard_process] [INFO] - Player: S 這一回合 PASS
[2023-05-30 06:15:58] [root | line:91 | round_process] [INFO] - 新的回合開始了。
[2023-05-30 06:15:58] [root | line:97 | detect] [INFO] - _single_cards: [{0: D[3]}, {1: H[3]}, {2: H[4]}, {3: C[5]}, {4: S[5]}, {5: C[7]}, {6: C[9]}, {7: S[9]}, {8: C[J]}]
[2023-05-30 06:15:58] [root | line:44 | _filter] [INFO] - None
[2023-05-30 06:15:58] [root | line:101 | detect] [INFO] - qualfied: [{0: D[3]}, {1: H[3]}, {2: H[4]}, {3: C[5]}, {4: S[5]}, {5: C[7]}, {6: C[9]}, {7: S[9]}, {8: C[J]}]
[2023-05-30 06:15:58] [root | line:127 | show_card] [INFO] - [D[3]]
[2023-05-30 06:15:58] [root | line:186 | _show_pattern] [INFO] - Single([D[3]])
[2023-05-30 06:15:58] [root | line:104 | remove_cards] [INFO] - Cards: [D[3]] showed.
[2023-05-30 06:15:58] [root | line:168 | show_pattern] [INFO] - Single([D[3]]) Showed
